2023-01-01 18:10:58.534240 – запущена функция menu без аргументов (Меню справочника)
2023-01-01 18:11:03.026595 – запущена функция print_book с аргументами (None)
2023-01-01 18:11:03.027056 – запущена функция menu без аргументов (Меню справочника)
2023-01-01 18:11:10.362683 – запущена функция menu без аргументов (Меню справочника)
2023-01-01 18:11:16.213037 – запущена функция input_data без аргументов (None)
2023-01-01 18:12:02.659687 – запущена функция menu без аргументов (Меню справочника)
2023-01-01 18:18:44.504306 – запущена функция menu без аргументов (Меню справочника)
2023-01-01 18:18:55.969358 – запущена функция print_book с аргументами (None)
2023-01-01 18:18:55.970358 – запущена функция menu без аргументов (Меню справочника)
2023-01-01 18:20:09.962492 – запущена функция input_data без аргументов (None)
2023-01-01 18:22:16.228447 – запущена функция menu без аргументов (Меню справочника)
2023-01-01 18:22:20.999084 – запущена функция input_data без аргументов (None)
2023-01-01 18:24:03.780729 – запущена функция menu без аргументов (Меню справочника)
2023-01-01 18:24:08.115804 – запущена функция print_book с аргументами (None)
2023-01-01 18:24:08.116373 – запущена функция menu без аргументов (Меню справочника)
2023-01-01 18:44:17.150948 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:44:22.180835 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:44:26.245525 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:45:40.609017 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:45:40.609991 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:45:40.610999 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:45:43.719110 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:45:46.933869 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:48:07.738096 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:48:07.739097 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:48:07.739275 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:48:18.234828 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:48:22.197762 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:48:59.541180 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:48:59.551107 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:48:59.552076 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:49:05.369590 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:49:05.370662 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:49:05.371728 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:49:08.441972 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:49:08.443453 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:49:33.241888 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:49:33.242887 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:49:33.244892 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:50:41.835067 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:50:41.835528 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:50:41.837528 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:50:44.374971 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:50:44.377056 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:50:51.722453 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:51:07.887667 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:52:21.425645 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:52:21.426644 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:52:21.427640 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:52:24.375122 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:52:24.376663 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:56:27.243635 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:56:27.244454 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:56:27.246562 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:56:30.478071 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:56:30.478881 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:59:01.145620 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:59:01.146634 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:59:05.671042 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:59:05.672124 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:59:13.901857 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:59:36.912842 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:59:48.417280 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 18:59:48.418281 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:01:58.101049 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:02:02.260226 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:02:02.260739 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:02:04.244764 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:02:10.454537 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:02:29.254013 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:02:29.255420 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:03:17.791219 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:03:21.033958 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:03:21.035566 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:03:40.350350 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:03:46.232473 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:10:05.612557 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:10:09.773504 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:10:09.774510 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:10:13.210757 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:10:35.240658 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:10:45.434683 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:11:06.642477 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:12:07.813408 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:12:10.329990 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
2023-01-01 19:12:10.330541 - запущена функция{func.__name__} {"с аргументами" if args else "без аргументов"}({func.__doc__})
